feedback_id,date,source,customer_segment,product_area,feedback_text
F001,2026-08-02,Support,Enterprise,Reporting,"Large reports keep timing out when our finance team exports more than six months of data."
F002,2026-08-04,NPS,Enterprise,Reporting,"Reporting is useful but exporting large datasets is extremely unreliable."
F003,2026-08-07,Customer Success,Enterprise,Reporting,"Our operations team splits annual reports into several smaller exports because large exports fail."
F004,2026-08-10,Sales,Enterprise,Reporting,"Prospect requires reliable large report exports before expanding usage to its finance organization."
F005,2026-08-13,Product Review,SMB,Onboarding,"Setting up the mobile app was frustrating because I had to keep switching between the app and email."
F006,2026-08-15,Support,SMB,Onboarding,"User could not complete mobile verification without opening the verification link on another device."
F007,2026-08-18,NPS,SMB,Onboarding,"Mobile setup has too many verification steps and feels confusing."
F008,2026-08-21,Customer Success,SMB,Onboarding,"Several users abandoned mobile onboarding while waiting for email verification."
F009,2026-08-23,Support,Enterprise,Authentication,"Users are repeatedly logged out during long sessions and have to authenticate again."
F010,2026-08-25,NPS,Enterprise,Authentication,"Frequent session expiration interrupts our team's workflow."
F011,2026-08-28,Product Review,SMB,Performance,"The application takes too long to load when I first sign in."
F012,2026-08-30,Support,SMB,Performance,"Customer reports slow page loads when viewing accounts with large histories."
F013,2026-09-02,Sales,Enterprise,Reporting,"Enterprise prospect asked whether reports could be automatically delivered to executives every Monday."
F014,2026-09-05,Customer Success,Enterprise,Reporting,"Customer manually downloads and emails the same weekly report to twelve regional managers."
F015,2026-09-08,NPS,Enterprise,Reporting,"Scheduled report delivery would save our operations team several hours every month."
F016,2026-09-10,Support,SMB,Authentication,"User says password reset emails sometimes take several minutes to arrive."
F017,2026-09-12,User Research,Enterprise,Reporting,"Finance manager described report preparation as one of the most repetitive parts of their monthly workflow."
F018,2026-09-13,User Research,SMB,Onboarding,"Participant expected verification to happen entirely inside the mobile app."
F019,2026-09-14,Product Review,Enterprise,Reporting,"Reporting has the data we need but getting it out of the product is painful."
F020,2026-09-15,NPS,SMB,Performance,"The product works well once loaded but navigating between large customer records feels slow."
